market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
oil,10/29/10,6,-0.0099192,0.23049223,-0.482472296,0.570401725,-0.317146175,0.012211601,0.259019465,-20,0.189275911,20,0.165745102
oil,11/30/10,6,-0.008730825,0.224021575,-0.476596526,0.623010643,-0.306207688,0.012392523,0.251226367,-20,0.181831658,20,0.158293959
oil,12/31/10,6,-0.012220387,0.207836693,-0.507019662,0.570813096,-0.290395194,0.008827057,0.229834372,-20,0.172016676,20,0.134049936
oil,1/31/11,6,-0.012871986,0.206597653,-0.430390767,0.69461037,-0.281439136,0.003744625,0.22827898,-20,0.168059559,20,0.131066971
oil,2/28/11,6,-0.021926341,0.223243523,-0.089566345,0.572410261,-0.30685649,-0.015428569,0.245772946,-20,0.19709701,20,0.142377149
oil,3/31/11,6,-0.015076685,0.223389168,-0.033163822,0.577400434,-0.297505885,-0.011323159,0.256278386,-20,0.189439307,20,0.151688778
oil,4/29/11,6,-0.013060084,0.207023718,-0.000938787,0.550741061,-0.272866053,-0.011364712,0.240637005,-20,0.170425469,20,0.13785023
oil,5/31/11,6,-0.011430748,0.223840927,-0.318842741,0.667074878,-0.300834608,0.00257556,0.25217035,-20,0.182414549,20,0.153727958
oil,6/29/11,6,-0.006570077,0.222921691,-0.517084392,0.823207811,-0.297930628,0.013827705,0.250614771,-20,0.174150157,20,0.157536532
oil,7/29/11,6,-0.009773492,0.235113391,-0.458499571,0.575620471,-0.320829293,0.010772396,0.266238025,-20,0.19155692,20,0.172496449
oil,8/11/11,6,-0.013388208,0.295547562,-0.532084871,0.668730489,-0.409427078,0.018203652,0.326204883,-20,0.233443489,20,0.228083046
oil,8/26/11,6,-0.01923653,0.301397247,-0.48533231,0.443122945,-0.425905104,0.010579672,0.335215483,-20,0.247267833,20,0.231519602
oil,9/8/11,6,-0.023301912,0.292343482,-0.627863329,0.637048235,-0.424066126,0.015705848,0.306940253,-20,0.240624934,20,0.217584186
oil,9/23/11,6,-0.027363696,0.335749408,-0.66293292,0.663666762,-0.494071255,0.024921325,0.343354103,-20,0.262915742,20,0.250710918
oil,10/6/11,6,-0.022692287,0.339968332,-0.677392834,0.61057628,-0.495640033,0.031819203,0.353990184,-20,0.264284046,20,0.267919963
oil,10/20/11,6,-0.019411129,0.318144074,-0.797594045,0.880549068,-0.461445096,0.034853976,0.326476558,-20,0.243254541,20,0.247497894
oil,11/3/11,6,-0.008246356,0.28530593,-0.805509161,1.094209291,-0.394626788,0.035009958,0.305757744,-20,0.212781613,20,0.222916012
oil,11/17/11,6,-0.006034461,0.283525569,-0.727714928,1.174505616,-0.382248536,0.031115905,0.307120831,-20,0.209097607,20,0.219701591
oil,12/1/11,6,-1.93E-05,0.288108279,-0.670809443,0.946309787,-0.385685215,0.03543786,0.324842998,-20,0.210712883,20,0.235474602
oil,12/15/11,6,-0.007667352,0.281670721,-0.654146403,1.011450484,-0.381124808,0.026886569,0.307962619,-20,0.213046728,20,0.216603851
oil,12/29/11,6,-0.003283911,0.259409515,-0.555904422,0.944509409,-0.344092676,0.023481755,0.290488668,-20,0.196230889,20,0.198163303
oil,1/12/12,6,-0.00767833,0.252360482,-0.573840106,0.919725419,-0.341051059,0.019716075,0.277705531,-20,0.195948651,20,0.18603293
oil,1/26/12,6,-0.011761019,0.238518271,-0.535318985,0.97105007,-0.325451283,0.013174535,0.257274167,-20,0.189430019,20,0.162305346
oil,2/9/12,6,-0.007889509,0.222775118,-0.392908225,0.867264669,-0.295066847,0.008540058,0.249569911,-20,0.174267535,20,0.152571335
oil,2/23/12,6,-0.011508122,0.218011778,-0.311816369,0.867830656,-0.291482351,0.002512179,0.24113749,-20,0.1735749,20,0.141329846
oil,3/8/12,6,-0.015543123,0.225528141,-0.430234717,0.948600774,-0.309076964,0.003826677,0.240928883,-20,0.182338957,20,0.14255393
oil,3/22/12,6,-0.009405869,0.204645189,-0.431230256,0.876204602,-0.274729993,0.007491753,0.226120531,-20,0.159786261,20,0.128372438
oil,4/5/12,6,-0.011126882,0.197632905,-0.493047899,0.852962949,-0.270536557,0.007531624,0.214728289,-20,0.156177146,20,0.116525108
oil,4/19/12,6,-0.007317557,0.198105429,-0.550722736,0.860137812,-0.267842413,0.012767676,0.219410558,-20,0.152723819,20,0.122774866
oil,5/3/12,6,-0.007256769,0.187779628,-0.620800083,0.953416252,-0.254441696,0.013517876,0.205740547,-20,0.142720606,20,0.1070933
oil,5/17/12,6,-0.009582745,0.217843855,-0.607154642,0.818018988,-0.300965939,0.015585084,0.237449898,-20,0.174264864,20,0.144554255
oil,5/31/12,6,-0.008201355,0.235156847,-0.601405818,0.785876222,-0.323050009,0.019337155,0.259145277,-20,0.187199557,20,0.169537091
oil,6/14/12,6,-0.013643207,0.250136217,-0.582830618,0.733201846,-0.349589749,0.015637296,0.271007797,-20,0.20421839,20,0.18005576
oil,6/28/12,6,-0.010051869,0.249523095,-0.58133014,0.706455562,-0.346162415,0.018971802,0.274169104,-20,0.200965145,20,0.185394606
oil,7/12/12,6,-0.016081018,0.245990617,-0.464634728,0.644506082,-0.342115097,0.006808231,0.268700445,-20,0.205592877,20,0.17314081
oil,7/26/12,6,-0.008727927,0.236024246,-0.507106695,0.598719672,-0.323232799,0.013727138,0.26794441,-20,0.191036554,20,0.173399593
oil,8/9/12,6,-0.012964224,0.220116904,-0.479375587,0.690879318,-0.305589612,0.008126132,0.240930203,-20,0.180683695,20,0.145092154
oil,8/23/12,6,-0.016085047,0.227082896,-0.555449123,0.776884667,-0.319411164,0.008241816,0.242881399,-20,0.187619769,20,0.14798689
oil,9/6/12,6,-0.013568342,0.233084788,-0.634413939,0.91181748,-0.325792413,0.0151854,0.247765444,-20,0.187856821,20,0.154574846
oil,9/20/12,6,-0.01279,0.23998,-0.52692,0.70234,-0.3345,0.01294,0.26191,-20,0.19658,20,0.16895
oil,10/4/12,6,-0.0146,0.22872,-0.55068,0.72207,-0.32146,0.01084,0.2462,-20,0.18917,20,0.15237
oil,10/18/12,6,-0.01194,0.22864,-0.45401,0.61348,-0.31252,0.0084,0.2549,-20,0.18925,20,0.16049
oil,11/1/12,6,-0.00962,0.22731,-0.43285,0.5072,-0.31298,0.01137,0.25539,-20,0.18872,20,0.16286
oil,11/15/12,6,-0.01415,0.22947,-0.4296,0.48957,-0.32033,0.00681,0.25415,-20,0.19509,20,0.1602
oil,11/29/12,6,-0.00983,0.21094,-0.38716,0.47424,-0.28982,0.00765,0.23806,-20,0.1746,20,0.14268
oil,12/13/12,6,-0.00549,0.20949,-0.41644,0.50883,-0.28303,0.01235,0.24015,-20,0.16783,20,0.14637
oil,12/27/12,6,-0.00087,0.19775,-0.48443,0.63511,-0.2613,0.01707,0.23035,-20,0.14938,20,0.13628
oil,1/10/13,6,-0.00751,0.18093,-0.50479,0.60466,-0.24851,0.01003,0.20277,-20,0.14066,20,0.10349
oil,1/24/13,6,-0.00366,0.17117,-0.57068,0.81042,-0.22979,0.01398,0.19277,-20,0.12454,20,0.09137
oil,2/7/13,6,-0.00386,0.16338,-0.66836,0.91088,-0.22133,0.01556,0.18145,-20,0.11714,20,0.07691
oil,2/21/13,6,-0.0018,0.16956,-0.80638,1.30105,-0.22559,0.02117,0.18491,-20,0.11927,20,0.08113
oil,3/7/13,6,-0.00405,0.1625,-0.65096,0.89425,-0.21979,0.01519,0.18017,-20,0.11628,20,0.07516
oil,3/21/13,6,-0.00227,0.14246,-0.51973,0.69555,-0.19038,0.01146,0.16265,-20,0.09154,20,0.05609
oil,4/4/13,6,-0.00227,0.14394,-0.66114,0.87439,-0.19353,0.01449,0.16219,-20,0.09483,20,0.05376
oil,4/18/13,6,-0.00483,0.16592,-0.52992,0.65408,-0.22693,0.01224,0.18636,-20,0.12249,20,0.08398
oil,5/2/13,6,-0.00474,0.15624,-0.56036,0.67469,-0.21278,0.01117,0.1767,-20,0.11061,20,0.07129
oil,5/30/13,6,-0.00143,0.16331,-0.64296,0.91877,-0.21728,0.01681,0.18436,-20,0.1139,20,0.08076
oil,6/13/13,6,-0.00371,0.15393,-0.54978,0.8182,-0.20628,0.01164,0.17336,-20,0.10548,20,0.06852
oil,6/27/13,6,-0.00274,0.1578,-0.50493,0.80961,-0.20911,0.01171,0.17933,-20,0.10793,20,0.07576
oil,7/11/13,6,-0.00193,0.15949,-0.42046,0.73352,-0.209,0.01021,0.18457,-20,0.10777,20,0.08203
oil,7/25/13,6,0.001,0.15663,-0.49682,0.86363,-0.20097,0.01368,0.18263,-20,0.10085,20,0.07988
oil,8/8/13,6,-0.00017,0.15086,-0.58843,0.85032,-0.19879,0.0153,0.17344,-20,0.09871,20,0.06744
oil,8/22/13,6,-0.0002,0.15959,-0.44088,0.65785,-0.20865,0.01232,0.18766,-20,0.10721,20,0.08525
oil,9/5/13,6,-0.00684,0.16902,-0.4735,0.80279,-0.22731,0.0076,0.18881,-20,0.12311,20,0.08754
oil,9/19/13,6,-0.00313,0.15125,-0.50003,0.70148,-0.2022,0.01093,0.17281,-20,0.10229,20,0.06824
oil,10/3/13,6,-0.00399,0.14478,-0.56645,0.8704,-0.19407,0.01027,0.1625,-20,0.09496,20,0.05638
oil,10/17/13,6,-0.00182,0.14285,-0.56866,0.79382,-0.18886,0.01171,0.16402,-20,0.09009,20,0.05633
oil,10/31/13,6,-0.00054,0.14121,-0.58117,0.79124,-0.1867,0.01378,0.16276,-20,0.08846,20,0.05478
oil,11/14/13,6,-0.00116,0.14214,-0.61467,0.81318,-0.18935,0.01356,0.16377,-20,0.0908,20,0.05552
oil,11/27/13,6,-0.00158,0.14526,-0.53766,0.74149,-0.19257,0.01217,0.16731,-20,0.09369,20,0.06125
oil,12/12/13,6,0.001,0.12747,-0.58518,0.78815,-0.16741,0.01395,0.14842,-20,0.07141,20,0.03886
oil,12/26/13,6,0.00254,0.11973,-0.58121,0.96389,-0.15171,0.01311,0.14129,-20,0.05863,20,0.03309
oil,1/23/14,6,0.00099,0.13089,-0.4673,0.72302,-0.169,0.01131,0.15516,-20,0.07219,20,0.04802
oil,2/6/14,6,0.00038,0.13442,-0.56263,0.68995,-0.17682,0.01357,0.15731,-20,0.0795,20,0.0475
oil,2/20/14,6,0.00246,0.12054,-0.61058,0.79181,-0.15651,0.01491,0.14245,-20,0.0618,20,0.0305
oil,3/6/14,6,-0.00346,0.13296,-0.45249,0.73308,-0.17667,0.00713,0.15191,-20,0.07881,20,0.04655
oil,3/20/14,6,-0.00244,0.13128,-0.41966,0.64998,-0.1733,0.00747,0.15214,-20,0.07556,20,0.04662
oil,4/3/14,6,-0.00321,0.12819,-0.4633,0.66643,-0.17119,0.00749,0.14672,-20,0.07385,20,0.04074
oil,4/17/14,6,-0.00226,0.12232,-0.40706,0.63928,-0.16126,0.00637,0.14229,-20,0.06413,20,0.03686
oil,4/24/14,6,-0.0016,0.12034,-0.41902,0.61214,-0.15878,0.00752,0.14042,-20,0.06189,20,0.03464
oil,5/1/14,6,-0.00174,0.12218,-0.37137,0.63048,-0.16045,0.00617,0.14263,-20,0.06281,20,0.03816
oil,5/8/14,6,-0.00163,0.11891,-0.4378,0.59192,-0.15657,0.00668,0.14031,-20,0.06008,20,0.03257
oil,5/15/14,6,-0.00237,0.11482,-0.34935,0.60672,-0.15059,0.0044,0.13407,-20,0.05369,20,0.03081
oil,5/22/14,6,-0.00307,0.10981,-0.36426,0.69644,-0.14405,0.00364,0.12654,-20,0.04802,20,0.02535
oil,5/29/14,6,-0.00308,0.11005,-0.31586,0.66061,-0.14436,0.00279,0.12751,-20,0.04738,20,0.0267
oil,6/5/14,6,-0.00268,0.10803,-0.31108,0.65326,-0.14106,0.00331,0.12567,-20,0.04471,20,0.02513
oil,6/12/14,6,-0.00321,0.10773,-0.17886,0.58884,-0.13981,1.00E-05,0.12677,-20,0.04149,20,0.02785
oil,6/19/14,6,-0.00377,0.11227,-0.09633,0.68152,-0.14364,-0.00196,0.13236,-20,0.04516,20,0.03443
oil,6/26/14,6,-0.00317,0.11043,-0.09802,0.69556,-0.14142,-0.001,0.13021,-20,0.04275,20,0.03241
oil,7/3/14,6,-0.00141,0.10404,-0.23615,0.72141,-0.13279,0.0026,0.12289,-20,0.03757,20,0.02446
oil,7/10/14,6,-0.0029,0.10475,-0.22308,0.51331,-0.13827,0.00193,0.12251,-20,0.03938,20,0.02363
oil,7/17/14,6,-0.00234,0.10585,-0.27466,0.54464,-0.13869,0.00296,0.12404,-20,0.0415,20,0.02387
oil,7/24/14,6,-0.00176,0.10252,-0.25725,0.49149,-0.13409,0.00303,0.12119,-20,0.03648,20,0.02124
oil,7/31/14,6,-0.00221,0.11364,-0.23463,0.50954,-0.14809,0.00259,0.13533,-20,0.04939,20,0.03284
oil,8/7/14,6,-0.00322,0.11472,-0.31089,0.6706,-0.15098,0.00336,0.13233,-20,0.05348,20,0.03123
oil,8/14/14,6,-0.00215,0.11972,-0.4224,0.64176,-0.15842,0.00734,0.13797,-20,0.0615,20,0.03297
oil,8/21/14,6,-0.00313,0.12222,-0.24561,0.58094,-0.15936,0.00252,0.14308,-20,0.06087,20,0.04069
oil,8/28/14,6,-0.00151,0.11145,-0.33616,0.61231,-0.14575,0.00515,0.13029,-20,0.04921,20,0.02838
oil,9/4/14,6,-0.00288,0.11603,-0.42399,0.78112,-0.15252,0.00564,0.13277,-20,0.05693,20,0.03037
oil,9/10/14,6,-0.00312,0.12432,-0.37884,0.62483,-0.1643,0.00527,0.14453,-20,0.06665,20,0.0402
oil,9/17/14,6,-0.00209,0.11897,-0.40073,0.62713,-0.15673,0.00637,0.13841,-20,0.05972,20,0.03334
oil,9/24/14,6,-0.00203,0.12246,-0.3915,0.65842,-0.16052,0.00652,0.14219,-20,0.06355,20,0.0377
oil,10/1/14,6,-0.0021,0.13517,-0.41215,0.59997,-0.17894,0.00822,0.15709,-20,0.08031,20,0.05145
oil,10/8/14,6,-0.00414,0.14429,-0.45685,0.63164,-0.1931,0.00807,0.16462,-20,0.09398,20,0.05925
oil,10/15/14,6,-0.00663,0.18766,-0.54217,0.81114,-0.25318,0.01212,0.20849,-20,0.14325,20,0.10995
oil,10/22/14,6,-0.00255,0.16682,-0.5229,1.00243,-0.21543,0.01043,0.19144,-20,0.11257,20,0.09071
oil,10/29/14,6,-0.00359,0.17251,-0.5158,0.82328,-0.22812,0.01174,0.19684,-20,0.12287,20,0.09642
oil,11/5/14,6,-0.00493,0.19734,-0.45869,0.68696,-0.26249,0.01145,0.22589,-20,0.15142,20,0.12944
oil,11/12/14,6,-0.0049,0.19165,-0.57134,0.58433,-0.26072,0.0149,0.22024,-20,0.14886,20,0.12557
oil,11/19/14,6,-0.00798,0.20101,-0.45828,0.60327,-0.27191,0.00889,0.22824,-20,0.15932,20,0.13255
oil,11/26/14,6,-0.00756,0.21236,-0.53021,0.7064,-0.2884,0.01363,0.238,-20,0.16917,20,0.14366
oil,12/3/14,6,-0.01294,0.21904,-0.52362,0.70957,-0.30429,0.00943,0.23905,-20,0.17999,20,0.14465
oil,12/10/14,6,-0.01334,0.23779,-0.5947,0.75714,-0.33262,0.01443,0.2567,-20,0.19429,20,0.16648
oil,12/17/14,6,-0.01645,0.28546,-0.57202,0.74401,-0.39639,0.01379,0.31199,-20,0.22796,20,0.21496
oil,12/24/14,6,-0.01875,0.3263,-0.64368,1.058,-0.44231,0.01563,0.35177,-20,0.24626,20,0.24417
oil,12/31/14,6,-0.01428,0.32477,-0.72432,1.29785,-0.43161,0.0221,0.34886,-20,0.23648,20,0.24678
oil,1/7/15,6,-0.02624,0.31941,-0.73215,1.03104,-0.45739,0.01556,0.32835,-20,0.24249,20,0.22825
oil,1/14/15,6,-0.02202,0.29425,-0.54027,0.75266,-0.4117,0.00727,0.3171,-20,0.23845,20,0.21465
oil,1/21/15,6,-0.02331,0.31342,-0.54875,0.78105,-0.43901,0.0099,0.33568,-20,0.24895,20,0.22796
oil,1/28/15,6,-0.02269,0.31927,-0.55124,0.64956,-0.44842,0.01166,0.34403,-20,0.25688,20,0.24287
oil,2/4/15,6,-0.01547,0.32344,-0.582,0.78246,-0.44157,0.01655,0.35823,-20,0.24779,20,0.25213
oil,2/11/15,6,-0.03031,0.31808,-0.49547,0.55379,-0.4529,1.00E-05,0.33855,-20,0.26533,20,0.23298
oil,2/18/15,6,-0.01855,0.29546,-0.67891,1.11468,-0.40569,0.01618,0.31205,-20,0.22794,20,0.21687
oil,2/25/15,6,-0.01476,0.29482,-0.70169,1.05648,-0.40401,0.02105,0.31589,-20,0.22535,20,0.22361
oil,3/4/15,6,-0.01712,0.27497,-0.76395,1.11915,-0.38183,0.01958,0.28881,-20,0.21515,20,0.20064
oil,3/11/15,6,-0.01927,0.28674,-0.65885,0.83113,-0.40281,0.01623,0.30503,-20,0.23034,20,0.21437
oil,3/18/15,6,-0.01812,0.30979,-0.72573,0.89042,-0.43603,0.02433,0.32901,-20,0.23916,20,0.23955
oil,3/25/15,6,-0.01388,0.2954,-0.68877,0.88347,-0.40909,0.02394,0.31934,-20,0.22908,20,0.23066
oil,4/1/15,6,-0.0133,0.29397,-0.6504,0.80221,-0.40843,0.02395,0.31931,-20,0.22975,20,0.22973
oil,4/8/15,6,-0.01588,0.2665,-0.65848,0.804,-0.37232,0.01701,0.28735,-20,0.21659,20,0.19944
oil,4/15/15,6,-0.01393,0.24812,-0.54425,0.79198,-0.33812,0.01019,0.2725,-20,0.20265,20,0.1796
oil,4/22/15,6,-0.0119,0.25914,-0.61943,0.77795,-0.35781,0.01831,0.28364,-20,0.20798,20,0.1953
oil,4/29/15,6,-0.00679,0.22999,-0.65597,1.04116,-0.30841,0.01927,0.25289,-20,0.17702,20,0.1619
oil,5/6/15,6,-0.01275,0.22562,-0.58188,0.84335,-0.31129,0.01138,0.24472,-20,0.18267,20,0.15127
oil,5/13/15,6,-0.0107,0.22716,-0.57009,0.82483,-0.31122,0.01308,0.24952,-20,0.18166,20,0.15625
oil,5/20/15,6,-0.00824,0.22311,-0.61403,0.89422,-0.3048,0.01683,0.24512,-20,0.17514,20,0.15279
oil,5/27/15,6,-0.00802,0.23695,-0.58351,0.71406,-0.32391,0.01776,0.26471,-20,0.18933,20,0.17512
oil,6/3/15,6,-0.01424,0.2309,-0.61862,0.84851,-0.32232,0.01306,0.2469,-20,0.18891,20,0.15458
oil,6/10/15,6,-0.01246,0.22025,-0.57884,0.98403,-0.30114,0.01097,0.23671,-20,0.17523,20,0.14088
oil,6/17/15,6,-0.01188,0.23621,-0.59892,0.84135,-0.32642,0.0151,0.25662,-20,0.19026,20,0.16391
oil,6/24/15,6,-0.00942,0.23244,-0.60458,0.87566,-0.31687,0.01646,0.25485,-20,0.1846,20,0.16352
oil,7/1/15,6,-0.00891,0.2453,-0.61461,0.80179,-0.33658,0.01991,0.2695,-20,0.19532,20,0.18147
oil,7/8/15,6,-0.01769,0.26322,-0.59627,0.62546,-0.37485,0.01519,0.28241,-20,0.21952,20,0.19247
oil,7/15/15,6,-0.014,0.24915,-0.51117,0.50337,-0.34794,0.01119,0.27644,-20,0.20936,20,0.18717
oil,7/22/15,6,-0.01435,0.25411,-0.45957,0.43661,-0.35423,0.00948,0.28385,-20,0.21535,20,0.1926
oil,7/29/15,6,-0.01399,0.26569,-0.45155,0.48569,-0.3674,0.01022,0.29776,-20,0.22183,20,0.2032
oil,8/5/15,6,-0.01238,0.2616,-0.42028,0.47579,-0.35922,0.00994,0.29475,-20,0.21798,20,0.2006
oil,8/12/15,6,-0.01785,0.2614,-0.47039,0.36382,-0.37117,0.00874,0.2883,-20,0.22618,20,0.197
oil,8/19/15,6,-0.01439,0.25757,-0.47773,0.31934,-0.36332,0.01191,0.28789,-20,0.22175,20,0.20069
oil,8/26/15,6,-0.01499,0.28959,-0.45954,0.24318,-0.40692,0.01373,0.32816,-20,0.24555,20,0.23626
oil,9/2/15,6,-0.03512,0.31369,-0.38768,0.25851,-0.4569,-0.0089,0.33865,-20,0.27625,20,0.22788
oil,9/9/15,6,-0.02887,0.30318,-0.42843,0.39584,-0.43414,-0.0019,0.32902,-20,0.26113,20,0.22125
oil,9/16/15,6,-0.02621,0.29998,-0.42779,0.36169,-0.43096,0.00294,0.3261,-20,0.25751,20,0.22244
oil,9/23/15,6,-0.02162,0.29809,-0.46379,0.48024,-0.41926,0.0065,0.32761,-20,0.2492,20,0.22514
oil,9/30/15,6,-0.01708,0.29293,-0.46218,0.57508,-0.40475,0.0087,0.32666,-20,0.23821,20,0.22229
oil,10/7/15,6,-0.02274,0.26936,-0.38254,0.39892,-0.38046,-0.00189,0.29819,-20,0.23477,20,0.19646
oil,10/14/15,6,-0.01915,0.27062,-0.35983,0.38067,-0.37391,-0.00291,0.30829,-20,0.23183,20,0.20458
oil,10/21/15,6,-0.01787,0.26353,-0.31931,0.3766,-0.36332,-0.00148,0.29976,-20,0.22718,20,0.1966
oil,10/28/15,6,-0.01676,0.26884,-0.3334,0.47254,-0.36748,0.00053,0.30414,-20,0.22753,20,0.20106
oil,11/4/15,6,-0.01573,0.27061,-0.27784,0.40752,-0.36927,1.00E-05,0.30977,-20,0.22981,20,0.20321
oil,11/11/15,6,-0.01973,0.26324,-0.30155,0.27798,-0.36468,-0.00532,0.30117,-20,0.23162,20,0.19695
oil,11/18/15,6,-0.02059,0.27095,-0.28539,0.43674,-0.37256,-0.00545,0.30563,-20,0.23374,20,0.19693
oil,11/25/15,6,-0.02033,0.27543,-0.23541,0.51788,-0.37539,-0.00711,0.31086,-20,0.23509,20,0.19695
oil,12/2/15,6,-0.03092,0.28316,-0.28579,0.38463,-0.40261,-0.01363,0.30814,-20,0.25356,20,0.19714
oil,12/9/15,6,-0.02694,0.28622,-0.30039,0.39427,-0.40164,-0.01006,0.31738,-20,0.25039,20,0.20427
oil,12/16/15,6,-0.02579,0.28772,-0.25387,0.34684,-0.39952,-0.01177,0.32284,-20,0.25423,20,0.20949
oil,12/23/15,6,-0.02521,0.29778,-0.31925,0.43778,-0.41563,-0.0055,0.32984,-20,0.25535,20,0.21642
oil,12/31/15,6,-0.02123,0.29205,-0.30206,0.46623,-0.40256,-0.00358,0.32743,-20,0.24748,20,0.21562
oil,1/6/16,6,-0.02317,0.31516,-0.30042,0.42529,-0.43576,-0.00419,0.35399,-20,0.26338,20,0.23283
oil,1/13/16,6,-0.03986,0.34698,-0.32852,0.26991,-0.50033,-0.0171,0.3794,-20,0.29714,20,0.24276
oil,1/20/16,6,-0.04606,0.38802,-0.45683,0.24303,-0.57208,-0.00796,0.41639,-20,0.31418,20,0.27241
oil,1/27/16,6,-0.03449,0.36526,-0.40772,0.40837,-0.51929,-0.00509,0.39876,-20,0.29433,20,0.26063
oil,2/3/16,6,-0.03136,0.36948,-0.40976,0.40149,-0.52106,-0.00207,0.40876,-20,0.29351,20,0.26745
oil,2/11/16,6,-0.0475,0.38266,-0.4118,0.1106,-0.56576,-0.01357,0.41533,-20,0.31889,20,0.27052
oil,2/18/16,6,-0.04512,0.39374,-0.41703,0.26328,-0.57151,-0.01439,0.43306,-20,0.31531,20,0.27136
oil,2/24/16,6,-0.03585,0.37371,-0.44665,0.2538,-0.5406,-0.001,0.40797,-20,0.30192,20,0.27537
oil,3/2/16,6,-0.02273,0.34057,-0.46444,0.50473,-0.47553,0.00883,0.37682,-20,0.27022,20,0.25652
oil,3/9/16,6,-0.02797,0.30377,-0.42989,0.53697,-0.42699,-0.00333,0.33077,-20,0.25708,20,0.2187
oil,3/16/16,6,-0.02418,0.30341,-0.46417,0.5918,-0.42373,0.00197,0.33224,-20,0.251,20,0.22337
oil,3/23/16,6,-0.01863,0.29357,-0.49572,0.64621,-0.4048,0.00799,0.32424,-20,0.23921,20,0.22146
oil,3/30/16,6,-0.01607,0.29606,-0.50922,0.66428,-0.40548,0.01073,0.32974,-20,0.23762,20,0.22761
oil,4/6/16,6,-0.01679,0.30735,-0.46527,0.55091,-0.42441,0.0115,0.34309,-20,0.24757,20,0.2371
oil,4/13/16,6,-0.02672,0.30561,-0.43254,0.42905,-0.43461,1.00E-05,0.33366,-20,0.25911,20,0.22574
oil,4/20/16,6,-0.0209,0.28491,-0.38768,0.46275,-0.3984,0.0025,0.31526,-20,0.24239,20,0.21116
oil,4/27/16,6,-0.0165,0.27945,-0.41066,0.46215,-0.38595,0.00664,0.31388,-20,0.23446,20,0.21333
oil,5/4/16,6,-0.01496,0.29213,-0.41762,0.44226,-0.40055,0.0089,0.33168,-20,0.24142,20,0.22877
oil,5/11/16,6,-0.02402,0.28091,-0.40223,0.42775,-0.39723,-0.00143,0.309,-20,0.24262,20,0.20605
oil,5/18/16,6,-0.02148,0.28782,-0.45623,0.42522,-0.40788,0.00639,0.31581,-20,0.24434,20,0.21662
